run_question,round,question_id,committed_class,visible_class,current_preview_has_gold,first_positive_tau
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,None,None,False,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,None,None,False,0.2
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,None,Partial,True,0.375
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,None,None,False,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,None,Partial,True,0.2857142857142857
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,None,Partial,True,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,None,Partial,True,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,None,Partial,True,0.25
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,None,Complete,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,None,Complete,True,0.2857142857142857
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Partial,Partial,True,1.0
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,None,Complete,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Partial,Partial,True,0.4444444444444444
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,None,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,None,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,None,Partial,True,0.1818181818181818
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Partial,Partial,True,0.1818181818181818
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,None,Complete,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Partial,Partial,True,0.3
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Partial,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,None,Partial,True,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,Partial,Partial,True,0.2727272727272727
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,None,Partial,True,0.2222222222222222
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,None,Partial,True,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,None,Partial,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Partial,Partial,True,0.3333333333333333
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,None,Complete,True,0.6666666666666666
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,None,Partial,True,0.2857142857142857
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,None,Partial,True,0.2857142857142857
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,None,Partial,True,0.1176470588235294
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,None,None,False,0.2222222222222222
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,None,None,False,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,None,Partial,True,0.5
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Partial,Partial,True,0.2307692307692307
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,None,Partial,True,0.25
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,None,Partial,True,0.4
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,None,Partial,True,0.1578947368421052
Run 2::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,Run 2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,None,Partial,True,0.1428571428571428
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,None,Partial,True,0.75
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,None,Partial,True,0.1428571428571428
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,None,Partial,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,None,Complete,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,Partial,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,Never,Never,False,
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,None,Partial,True,0.1538461538461538
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,None,Partial,True,0.0769230769230769
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,None,Partial,True,0.1764705882352941
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,None,Partial,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,None,Partial,True,0.4285714285714285
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,None,Complete,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,Partial,Partial,True,0.3
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,None,Partial,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,None,Partial,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,None,Partial,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,Never,Never,False,
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,None,Partial,True,0.2222222222222222
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,Partial,Partial,True,0.6
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,None,Partial,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,None,Partial,True,0.25
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,None,None,False,0.2142857142857142
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,None,Partial,True,0.1538461538461538
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,Complete,Complete,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,None,Partial,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,Partial,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,None,Partial,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,Partial,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,Partial,Partial,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,Partial,Partial,True,0.4285714285714285
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,None,None,False,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,None,None,False,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,None,Partial,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,None,Complete,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,Partial,Partial,True,0.2142857142857142
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,Partial,Partial,True,0.3
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,None,Partial,True,0.75
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,None,Complete,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,Partial,Partial,True,0.4285714285714285
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,None,Partial,True,0.2857142857142857
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,None,Partial,True,0.1333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,Partial,Partial,True,0.4444444444444444
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,Partial,Partial,True,0.15
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,None,Complete,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,Partial,Partial,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,Partial,Partial,False,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,Partial,Partial,True,0.3
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,None,Partial,True,0.1428571428571428
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,None,Partial,True,0.1818181818181818
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,None,Partial,True,0.3333333333333333
